age,balance,average_spending,average_balance,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,has_deposits_no,has_deposits_yes,loan_no,loan_yes,has_insurance_n,has_insurance_y,has_mortgage_no,has_mortgage_yes,predictions
62.0,47.64120923490835,2.963588464319504,4.331407002615693,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7701403972456912
73.0,3143.046759951747,-7.071066446645618,3174.0749389729463,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7670838741935512
66.0,114.02912807276203,5.654959908590918,37.21658436997538,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,0.7629913943615537
69.0,208.26712150662334,3.2425354785755474,230.13989272953083,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7629258155480112
70.0,19.671294923639675,5.43046558984673,19.833655684147338,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7621641274156075
74.0,29066.90264212012,2.0401861723787444,29065.034642035138,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7564441289702735
72.0,336.0647453886237,-8.256392569104346,423.2346029636759,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7561480974009406
65.0,905.4733916151902,5.729751707453138,831.5146247113269,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7555104712509184
79.0,144.18719619996602,5.246049876600714,75.58161168076498,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7553785328917317
78.0,550.9186587549118,2.9351339702853942,552.9891259088906,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.754889937623793
61.0,888.754637532501,1.4829489298655063,931.0394703232835,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7535526320715406
71.0,448.06160662273084,3.2563467087659523,387.4781020003997,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,0.7531086494318838
77.0,4681.27496456566,7.074125962764483,4650.349632919662,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7530528324273941
61.0,52403.29490761213,-4.252439639847143,52573.33067271749,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7529769024544123
82.0,55.800781938993794,6.597483758829519,23.82852788594772,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,True,False,0.7529559080465278
76.0,868.9129437168475,5.690836008072097,807.9636669846658,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7524735183988243
85.0,7636.971714414598,3.3805558901413315,7616.370602263354,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7520533530681629
73.0,4972.90506159235,-7.457056440087217,5029.751088925302,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7519629406933204
71.0,1763.7967038393037,4.229848812083828,1732.2239298508514,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.751585435534856
75.0,1379.4451806256159,2.2782505972396394,1336.9963905367745,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7515370434835078
67.0,423.8621217888765,1.988350937410869,450.7706182722854,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.751501890991865
76.0,2782.246536604495,2.4726633649440557,2692.4445418174896,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7510953225085073
76.0,2928.626250357273,-7.138741234813843,3060.721573449555,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7510372264739203
78.0,333.01866977163525,5.142833886812517,211.15659548584665,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,0.7478916266615084
61.0,3596.254683669168,4.548861866882544,3626.6963192585195,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7471004989606768
61.0,6515.418998153413,-8.334411603252192,6607.146438320928,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,True,False,0.7469487979660763
68.0,4373.4557293587495,4.4040907112493,4186.013606919496,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,0.7465068757603417
70.0,296.87369128405504,1.518893816544952,281.9971971647325,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7458017961199981
64.0,379.24973928155396,2.9450388814671395,305.68931993238215,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,0.7453491454722672
61.0,32611.34759294182,-3.876126365444652,32689.832040736495,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,0.7452151177752983
74.0,4002.7287910352125,-2.8704646495322597,4060.855519687046,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7443354928020705
73.0,2297.226891819603,3.860072541749996,2299.5928796056355,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,0.7422039716092259
71.0,5578.3217032318635,2.6663987658072803,5564.617001410933,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7416804313987041
71.0,4376.144998613533,-2.0622811966241352,4359.143647290394,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,0.7414435329807071
